preferences,film_genre
"Saya suka film tentang pahlawan super dan pertempuran epic",Action|Superhero
"Saya ingin menonton film dengan visual yang indah dan penuh fantasi",Fantasy|Adventure
"Film dengan plot twist dan cerita yang membuat penasaran",Thriller|Mystery
"Film yang menceritakan kisah nyata dan bersejarah",Drama|Biography|Historical
"Saya mencari film komedi yang menghibur dan lucu",Comedy
"Film horor yang menegangkan dan menakutkan",Horror|Thriller
"Film romantis dengan kisah cinta yang mengharukan",Romance|Drama
"Film fiksi ilmiah dengan efek visual yang spektakuler",Sci-Fi|Action
"Film animasi yang cocok untuk anak-anak",Animation|Family
"Film dokumenter tentang alam dan lingkungan",Documentary|Nature
"Saya ingin menonton film action dengan adegan pertarungan keren",Action|Martial Arts
"Film dengan cerita yang dalam dan berkesan",Drama|Art House
"Saya suka film yang menampilkan petualangan luar angkasa",Sci-Fi|Adventure
"Film dengan tema dystopia atau post-apocalyptic",Sci-Fi|Thriller
"Film komedi romantis yang ringan dan menghibur",Comedy|Romance
"Film klasik dari era 80an dan 90an",Classic|Retro
"Film yang menampilkan kisah superhero origin story",Superhero|Action
"Film dengan unsur misteri dan teka-teki",Mystery|Thriller
"Saya mencari film dengan nilai moral dan inspiratif",Drama|Inspirational
"Film tentang perang dan perjuangan manusia",War|Drama
"Film musikal dengan lagu-lagu yang menarik",Musical|Drama
"Film dengan tema psikologis dan karakter yang kompleks",Psychological|Drama
"Saya ingin menonton film yang mengeksplorasi budaya asing",Foreign|Cultural
"Film tentang persahabatan dan perjalanan hidup",Drama|Coming of Age
"Film dengan alur cerita non-linear yang unik",Art House|Experimental
"Saya suka film yang penuh dengan efek special dan pertarungan",Action|Fantasy
"Film tentang kehidupan remaja dan hubungan sosial",Teen|Coming of Age
"Film komedi gelap dengan humor satir",Dark Comedy|Satire
"Film dengan tema hacker dan dunia cyber",Thriller|Tech
"Saya mencari film yang berbasis pada novel bestseller",Drama|Adaptation
"Film tentang mafia dan kehidupan gangster",Crime|Drama
"Film dengan adegan spy dan mata-mata",Spy|Thriller
"Film dengan cerita fantasi dan dunia ajaib",Fantasy|Adventure
"Saya suka film tentang perjalanan waktu dan paradoks",Sci-Fi|Adventure
"Film dengan tema zombie dan apocalypse",Horror|Action
"Film tentang heist dan perampokan",Crime|Thriller
"Film yang berfokus pada karakter antihero",Drama|Crime
"Saya ingin menonton film dengan tema politik dan konspirasi",Political|Thriller
"Film yang menggabungkan komedi dan aksi",Action|Comedy
"Film yang memiliki efek CGI terbaik",Action|Sci-Fi
"Film yang berlatar dunia fantasi seperti Lord of the Rings",Fantasy|Adventure
"Film dengan tokoh monster atau makhluk supernatural",Horror|Fantasy
"Saya mencari film western dan koboi",Western|Adventure
"Film dengan tema mitologi dan dewa-dewa",Fantasy|Mythology
"Film tentang olahraga dan perjuangan atlet",Sports|Drama
"Film yang menggali isu sosial dan rasisme",Drama|Social
"Saya ingin menonton film trilogie atau saga",Epic|Adventure
"Film dengan setting sejarah dan kerajaan",Historical|Drama
"Film dengan teknologi dan robot masa depan",Sci-Fi|Action
"Film tentang keluarga dan ikatan keluarga",Family|Drama
"Film yang menceritakan kisah nyata yang menginspirasi",Biography|Inspirational
